monat;SPIEGEL_avg_words;SPIEGEL_avg_chars;STERN_avg_words;STERN_avg_chars;SPIEGEL_anzahl;STERN_anzahl;monat_dt
1965-09;650.7537537537537;4674.411411411412;;;333;0;1965-09-01
1965-10;680.4682779456193;4915.1027190332325;;;331;0;1965-10-01
1965-11;650.8605200945626;4714.108747044917;;;423;0;1965-11-01
1965-12;683.3253424657535;4934.256849315068;;;292;0;1965-12-01
1966-01;643.6586826347306;4664.835329341317;;;334;0;1966-01-01
1966-02;750.065934065934;5378.274725274725;;;273;0;1966-02-01
1966-03;737.6036036036036;5270.594594594595;;;333;0;1966-03-01
1966-04;712.9442724458204;5106.452012383901;;;323;0;1966-04-01
1966-05;685.8866498740554;4889.652392947103;;;397;0;1966-05-01
1966-06;709.0;5021.431654676259;;;278;0;1966-06-01
1966-07;580.8360215053764;4143.1720430107525;;;372;0;1966-07-01
1966-08;768.5849056603773;5597.588679245283;;;265;0;1966-08-01
1966-09;762.2417218543046;5475.811258278146;;;302;0;1966-09-01
1966-10;795.5061124694377;5696.508557457213;;;409;0;1966-10-01
1966-11;862.0095846645368;6189.246006389776;;;313;0;1966-11-01
1966-12;757.5087108013937;5511.379790940767;;;287;0;1966-12-01
1967-01;863.0962199312714;6239.494845360825;;;291;0;1967-01-01
1967-02;830.0330578512396;6013.764462809917;;;242;0;1967-02-01
1967-03;829.4887218045113;5962.097744360903;;;266;0;1967-03-01
1967-04;918.7376543209876;6595.916666666667;;;324;0;1967-04-01
1967-05;826.8905109489051;5952.193430656935;;;274;0;1967-05-01
1967-06;814.68669527897;5870.87982832618;;;233;0;1967-06-01
1967-07;801.3141891891892;5729.206081081081;;;296;0;1967-07-01
1967-08;984.2829268292683;6991.8536585365855;;;205;0;1967-08-01
1967-09;942.1395348837209;6707.949612403101;;;258;0;1967-09-01
1967-10;911.3087818696883;6509.70254957507;;;353;0;1967-10-01
1967-11;814.3302469135803;5854.938271604939;;;324;0;1967-11-01
1967-12;796.1114457831326;5705.813253012048;;;332;0;1967-12-01
1968-01;808.2022058823529;5819.033088235294;;;272;0;1968-01-01
1968-02;754.1245551601423;5437.103202846975;;;281;0;1968-02-01
1968-03;749.8729016786571;5406.868105515588;;;417;0;1968-03-01
1968-04;796.218954248366;5783.35294117647;;;306;0;1968-04-01
1968-05;738.754491017964;5363.479041916167;;;334;0;1968-05-01
1968-06;824.5825242718447;5967.533980582524;;;309;0;1968-06-01
1968-07;741.9712230215828;5343.705035971223;;;278;0;1968-07-01
1968-08;806.2649572649573;5782.226495726496;;;234;0;1968-08-01
1968-09;758.1073170731707;5491.309756097561;;;410;0;1968-09-01
1968-10;824.4676923076923;5941.950769230769;;;325;0;1968-10-01
1968-11;767.2011494252873;5581.103448275862;;;348;0;1968-11-01
1968-12;828.7967741935483;6056.2;;;310;0;1968-12-01
1969-01;817.6349206349206;5894.940476190476;;;252;0;1969-01-01
1969-02;821.6518771331058;5973.0273037542665;;;293;0;1969-02-01
1969-03;849.5129533678756;6173.4766839378235;;;386;0;1969-03-01
1969-04;817.2285714285714;6001.746031746032;;;315;0;1969-04-01
1969-05;884.9354838709677;6401.6612903225805;;;310;0;1969-05-01
1969-06;818.3873417721519;5984.79493670886;;;395;0;1969-06-01
1969-07;825.1864406779661;6055.5694915254235;;;295;0;1969-07-01
1969-08;886.1366279069767;6446.633720930233;;;344;0;1969-08-01
1969-09;893.964856230032;6510.488817891373;;;313;0;1969-09-01
1969-10;867.7447447447447;6321.39039039039;;;333;0;1969-10-01
1969-11;777.1518987341772;5681.987341772152;;;474;0;1969-11-01
1969-12;752.5794392523364;5477.2336448598135;;;321;0;1969-12-01
1970-01;771.8522012578617;5621.066037735849;;;318;0;1970-01-01
1970-02;778.1111111111111;5693.555555555556;;;342;0;1970-02-01
1970-03;822.013856812933;6049.355658198614;;;433;0;1970-03-01
1970-04;832.4527777777778;6075.163888888889;;;360;0;1970-04-01
1970-05;898.2795180722892;6548.383132530121;;;415;0;1970-05-01
1970-06;797.0448717948718;5826.294871794872;;;312;0;1970-06-01
1970-07;760.0152905198777;5550.324159021407;;;327;0;1970-07-01
1970-08;821.9946524064171;5992.286096256685;;;374;0;1970-08-01
1970-09;818.8319088319088;5987.390313390313;;;351;0;1970-09-01
1970-10;820.9817232375979;6001.874673629243;;;383;0;1970-10-01
1970-11;886.6073059360731;6477.486301369863;;;438;0;1970-11-01
1970-12;820.2692307692307;5996.096153846154;;;312;0;1970-12-01
1971-01;798.4059139784946;5876.873655913979;;;372;0;1971-01-01
1971-02;796.4330218068536;5841.2305295950155;;;321;0;1971-02-01
1971-03;872.9009287925696;6410.393188854489;;;323;0;1971-03-01
1971-04;828.4615384615385;6064.707100591716;;;338;0;1971-04-01
1971-05;796.0526315789474;5810.839598997493;;;399;0;1971-05-01
1971-06;645.345205479452;4777.756164383562;;;365;0;1971-06-01
1971-07;650.1428571428571;4773.434173669468;;;357;0;1971-07-01
1971-08;666.9495412844037;4914.795871559633;;;436;0;1971-08-01
1971-09;655.7801047120419;4819.746073298429;;;382;0;1971-09-01
1971-10;701.2945054945055;5131.140659340659;;;455;0;1971-10-01
1971-11;673.9821882951654;4962.72010178117;;;393;0;1971-11-01
1971-12;696.0422960725075;5069.682779456193;;;331;0;1971-12-01
1972-01;603.4855875831486;4419.711751662971;;;451;0;1972-01-01
1972-02;653.2040229885057;4771.744252873563;;;348;0;1972-02-01
1972-03;687.1624649859943;5056.781512605042;;;357;0;1972-03-01
1972-04;711.6494117647059;5229.44;;;425;0;1972-04-01
1972-05;677.9970760233919;4949.611111111111;;;342;0;1972-05-01
1972-06;683.014409221902;4991.443804034582;;;347;0;1972-06-01
1972-07;647.4330357142857;4743.783482142857;;;448;0;1972-07-01
1972-08;649.1580459770115;4753.9655172413795;;;348;0;1972-08-01
1972-09;667.8189655172414;4900.103448275862;;;348;0;1972-09-01
1972-10;676.6144067796611;4954.010593220339;;;472;0;1972-10-01
1972-11;692.3396226415094;5083.595687331536;;;371;0;1972-11-01
1972-12;636.6118721461187;4671.431506849315;;;438;0;1972-12-01
1973-01;636.8832335329341;4678.685628742515;;;334;0;1973-01-01
1973-02;605.4969135802469;4463.342592592592;;;324;0;1973-02-01
1973-03;625.988603988604;4582.754985754986;;;351;0;1973-03-01
1973-04;714.0858585858585;5221.805555555556;;;396;0;1973-04-01
1973-05;715.8205980066446;5237.013289036545;;;301;0;1973-05-01
1973-06;671.5811688311688;4891.967532467533;;;308;0;1973-06-01
1973-07;651.0819672131148;4774.7786885245905;;;366;0;1973-07-01
1973-08;677.0528169014085;4952.792253521126;;;284;0;1973-08-01
1973-09;671.2322274881517;4912.097156398104;;;422;0;1973-09-01
1973-10;670.681690140845;4886.5352112676055;;;355;0;1973-10-01
1973-11;763.4084967320262;5579.843137254902;;;306;0;1973-11-01
1973-12;715.5830903790087;5209.903790087464;;;343;0;1973-12-01
1974-01;812.7916666666666;5867.382575757576;;;264;0;1974-01-01
1974-02;717.2637362637363;5256.985347985348;;;273;0;1974-02-01
1974-03;720.3076923076923;5249.065527065527;;;351;0;1974-03-01
1974-04;720.5862068965517;5248.610344827586;;;290;0;1974-04-01
1974-05;700.2454873646209;5083.046931407942;;;277;0;1974-05-01
